Position;
(-1.173, 0.000, -8.738)
(-0.243, 0.000, -10.657)
(0.957, 0.000, -15.480)
(1.005, 0.000, -18.532)
(0.843, 0.000, -13.251)
(0.673, 0.000, -18.794)
(0.804, 0.000, -17.028)
(0.810, 0.000, -20.282)
(0.343, 0.000, -18.848)
(-0.034, 0.000, -11.792)
(-0.492, 0.000, -4.295)
(-0.868, 0.000, 4.007)
(-0.960, 0.000, 14.613)
(-0.813, 0.000, 24.839)
(-1.725, 0.000, 13.321)
(-2.483, 0.000, 1.715)
(-3.095, 0.000, -9.837)
(6.741, 0.000, -16.396)
(6.837, 0.000, -5.444)
(6.085, 0.000, 5.604)
(-1.627, 0.000, 10.464)
(-0.374, 0.000, 21.634)
(0.060, 0.000, 32.267)
(-0.308, 0.000, 36.530)
(0.703, 0.000, 31.561)
(2.585, 0.000, 31.707)
(2.534, 0.000, 31.621)